timestamp,open,high,low,close,volume
2025-01-23 19:09:00,223.3,223.34,223.26,223.34,403
2025-01-23 19:08:00,223.34,223.34,223.21,223.21,127
2025-01-23 19:07:00,223.245,223.35,223.21,223.275,278
2025-01-23 19:06:00,223.3,223.35,223.1497,223.34,1685
2025-01-23 19:05:00,223.3,223.35,223.3,223.3475,142
2025-01-23 19:04:00,223.3,223.35,223.2525,223.3,167
2025-01-23 19:03:00,223.35,223.35,223.25,223.35,215
2025-01-23 19:02:00,223.3,223.35,223.26,223.3,444
2025-01-23 19:01:00,223.25,223.35,223.25,223.3,799
2025-01-23 19:00:00,223.32,223.35,223.3,223.35,202
2025-01-23 18:59:00,223.25,223.35,223.25,223.32,50
2025-01-23 18:58:00,223.3,223.35,223.26,223.3,82
2025-01-23 18:57:00,223.3,223.35,223.25,223.32,384
2025-01-23 18:56:00,223.35,223.35,223.25,223.35,241
2025-01-23 18:55:00,223.2988,223.43,223.2188,223.22,1571
2025-01-23 18:54:00,223.3,223.3,223.23,223.29,793
2025-01-23 18:53:00,223.35,223.4,223.3,223.3,740
2025-01-23 18:52:00,223.32,223.4,223.3,223.35,837
2025-01-23 18:51:00,223.34,223.35,223.3,223.315,117
2025-01-23 18:50:00,223.33,223.35,223.3,223.3025,383
2025-01-23 18:49:00,223.35,223.37,223.32,223.34,118
2025-01-23 18:48:00,223.398,223.45,223.3,223.36,488
2025-01-23 18:47:00,223.39,223.4475,223.35,223.35,213
2025-01-23 18:46:00,223.37,223.45,223.32,223.45,347
2025-01-23 18:45:00,223.39,223.45,223.35,223.39,208
2025-01-23 18:44:00,223.38,223.45,223.35,223.45,556
2025-01-23 18:43:00,223.37,223.45,223.35,223.45,282
2025-01-23 18:42:00,223.35,223.4,223.35,223.4,584
2025-01-23 18:41:00,223.38,223.4488,223.3232,223.37,27
2025-01-23 18:40:00,223.365,223.38,223.32,223.37,220
2025-01-23 18:39:00,223.4,223.45,223.35,223.37,206
2025-01-23 18:38:00,223.37,223.45,223.3212,223.4,2289
2025-01-23 18:37:00,223.3796,223.38,223.35,223.365,59
2025-01-23 18:36:00,223.38,223.38,223.32,223.38,570
2025-01-23 18:35:00,223.38,223.45,223.32,223.35,288
2025-01-23 18:34:00,223.38,223.45,223.35,223.375,181
2025-01-23 18:33:00,223.35,223.45,223.3,223.34,326
2025-01-23 18:32:00,223.33,223.36,223.3006,223.3006,418
2025-01-23 18:31:00,223.35,223.36,223.3,223.33,2327
2025-01-23 18:30:00,223.32,223.36,223.3,223.33,193
2025-01-23 18:29:00,223.35,223.36,223.3,223.35,734
2025-01-23 18:28:00,223.32,223.36,223.29,223.36,203
2025-01-23 18:27:00,223.36,223.36,223.25,223.32,75
2025-01-23 18:26:00,223.305,223.36,223.25,223.36,1226
2025-01-23 18:25:00,223.35,223.36,223.25,223.305,39
2025-01-23 18:24:00,223.3,223.36,223.24,223.36,1131
2025-01-23 18:23:00,223.28,223.3,223.24,223.3,1139
2025-01-23 18:22:00,223.28,223.28,223.2507,223.28,53
2025-01-23 18:21:00,223.27,223.28,223.25,223.25,60
2025-01-23 18:20:00,223.275,223.3,223.24,223.25,233
